Character Name,Energy,Danceability,Valence,Tempo,Archetype
Character_1,0.61,0.61,0.7,86,The Sage
Character_2,0.92,0.59,0.78,97,The Mystic
Character_3,0.8,0.32,0.45,110,The Warrior
Character_4,0.73,0.5,0.67,135,The Charmer
Character_5,0.49,0.53,0.64,94,The Lover
Character_6,0.49,0.54,0.8,127,The Mystic
Character_7,0.43,0.65,0.84,110,The Charmer
Character_8,0.88,0.62,0.31,75,The Hero
Character_9,0.73,0.66,0.7,144,The Mystic
Character_10,0.79,0.76,0.33,107,The Poet
Character_11,0.41,0.79,0.63,75,The Mystic
Character_12,0.93,0.73,0.47,114,The Lover
Character_13,0.86,0.87,0.48,144,The Hero
Character_14,0.52,0.31,0.51,83,The Warrior
Character_15,0.5,0.42,0.67,135,The Star
Character_16,0.5,0.3,0.5,109,The Dreamer
Character_17,0.57,0.69,0.74,72,The Lover
Character_18,0.69,0.84,0.54,93,The Charmer
Character_19,0.64,0.45,0.34,88,The Hero
Character_20,0.56,0.86,0.77,87,The Poet
Character_21,0.74,0.34,0.47,133,The Rebel
Character_22,0.48,0.86,0.56,104,The Hero
Character_23,0.56,0.51,0.71,131,The Charmer
Character_24,0.6,0.36,0.5,70,The Dreamer
Character_25,0.65,0.59,0.33,94,The Dreamer
Character_26,0.83,0.45,0.52,114,The Sage
Character_27,0.51,0.47,0.87,118,The Star
Character_28,0.68,0.48,0.69,85,The Charmer
Character_29,0.73,0.78,0.7,88,The Dreamer
Character_30,0.43,0.62,0.68,92,The Sage
Character_31,0.73,0.49,0.42,94,The Sage
Character_32,0.49,0.67,0.55,85,The Sage
Character_33,0.44,0.73,0.75,123,The Hero
Character_34,0.92,0.46,0.36,142,The Sage
Character_35,0.93,0.55,0.47,70,The Lover
Character_36,0.84,0.37,0.47,111,The Charmer
Character_37,0.57,0.41,0.56,88,The Lover
Character_38,0.45,0.71,0.89,103,The Rebel
Character_39,0.78,0.41,0.34,149,The Dreamer
Character_40,0.64,0.62,0.61,124,The Star
Character_41,0.47,0.73,0.41,87,The Sage
Character_42,0.67,0.36,0.88,103,The Poet
Character_43,0.42,0.64,0.37,114,The Poet
Character_44,0.9,0.45,0.54,75,The Dreamer
Character_45,0.54,0.88,0.74,90,The Rebel
Character_46,0.76,0.59,0.72,139,The Poet
Character_47,0.57,0.78,0.55,117,The Lover
Character_48,0.69,0.63,0.51,108,The Mystic
Character_49,0.7,0.33,0.54,100,The Hero
Character_50,0.5,0.68,0.46,79,The Warrior
Character_51,0.93,0.87,0.42,99,The Poet
Character_52,0.83,0.66,0.59,87,The Star
Character_53,0.92,0.79,0.46,129,The Sage
Character_54,0.89,0.83,0.47,142,The Star
Character_55,0.73,0.44,0.69,84,The Charmer
Character_56,0.91,0.43,0.88,73,The Hero
Character_57,0.45,0.67,0.66,132,The Lover
Character_58,0.51,0.55,0.35,109,The Rebel
Character_59,0.42,0.8,0.35,78,The Hero
Character_60,0.58,0.84,0.87,78,The Warrior
Character_61,0.61,0.51,0.48,95,The Mystic
Character_62,0.55,0.44,0.36,73,The Poet
Character_63,0.86,0.77,0.66,150,The Rebel
Character_64,0.6,0.46,0.67,85,The Rebel
Character_65,0.55,0.79,0.69,84,The Poet
Character_66,0.7,0.55,0.46,121,The Poet
Character_67,0.48,0.7,0.31,138,The Poet
Character_68,0.84,0.36,0.88,74,The Poet
Character_69,0.44,0.67,0.45,89,The Poet
Character_70,0.94,0.57,0.71,148,The Rebel
Character_71,0.82,0.65,0.72,87,The Dreamer
Character_72,0.51,0.4,0.67,71,The Dreamer
Character_73,0.4,0.74,0.49,82,The Star
Character_74,0.85,0.82,0.46,73,The Dreamer
Character_75,0.79,0.43,0.66,111,The Warrior
Character_76,0.8,0.36,0.82,143,The Dreamer
Character_77,0.82,0.31,0.87,130,The Rebel
Character_78,0.44,0.69,0.36,77,The Poet
Character_79,0.6,0.66,0.39,136,The Sage
Character_80,0.46,0.63,0.87,132,The Sage
Character_81,0.87,0.44,0.74,78,The Warrior
Character_82,0.74,0.53,0.83,80,The Charmer
Character_83,0.58,0.66,0.42,111,The Rebel
Character_84,0.43,0.6,0.65,82,The Lover
Character_85,0.57,0.89,0.72,105,The Hero
Character_86,0.58,0.38,0.71,82,The Star
Character_87,0.8,0.72,0.54,81,The Lover
Character_88,0.75,0.54,0.31,106,The Rebel
Character_89,0.89,0.56,0.65,143,The Dreamer
Character_90,0.66,0.73,0.45,142,The Poet
Character_91,0.47,0.72,0.57,121,The Lover
Character_92,0.79,0.89,0.87,140,The Hero
Character_93,0.82,0.38,0.54,71,The Charmer
Character_94,0.71,0.36,0.8,125,The Sage
Character_95,0.82,0.73,0.41,129,The Charmer
Character_96,0.67,0.65,0.7,92,The Hero
Character_97,0.69,0.46,0.89,109,The Poet
Character_98,0.64,0.35,0.36,133,The Dreamer
Character_99,0.41,0.35,0.3,92,The Hero
Character_100,0.46,0.84,0.56,98,The Star
Character_101,0.42,0.42,0.36,147,The Hero
Character_102,0.75,0.49,0.75,120,The Rebel
Character_103,0.57,0.44,0.85,138,The Dreamer
Character_104,0.68,0.51,0.56,100,The Poet
Character_105,0.9,0.34,0.46,119,The Sage
Character_106,0.54,0.61,0.56,89,The Sage
Character_107,0.63,0.34,0.73,124,The Hero
Character_108,0.82,0.78,0.31,150,The Rebel
Character_109,0.53,0.44,0.65,71,The Lover
Character_110,0.44,0.62,0.67,94,The Charmer
Character_111,0.56,0.83,0.68,82,The Charmer
Character_112,0.49,0.69,0.45,139,The Charmer
Character_113,0.91,0.62,0.73,136,The Lover
Character_114,0.84,0.49,0.35,127,The Rebel
Character_115,0.75,0.5,0.42,144,The Charmer
Character_116,0.88,0.7,0.83,133,The Star
Character_117,0.84,0.9,0.74,138,The Lover
Character_118,0.5,0.7,0.31,128,The Lover
Character_119,0.89,0.63,0.45,129,The Poet
Character_120,0.7,0.74,0.43,131,The Poet
Character_121,0.84,0.58,0.46,85,The Dreamer
Character_122,0.89,0.34,0.45,137,The Star
Character_123,0.57,0.64,0.34,84,The Star
Character_124,0.46,0.87,0.58,124,The Dreamer
Character_125,0.53,0.41,0.74,104,The Star
Character_126,0.63,0.71,0.66,124,The Warrior
Character_127,0.85,0.42,0.7,83,The Mystic
Character_128,0.87,0.62,0.35,118,The Charmer
Character_129,0.4,0.36,0.87,76,The Poet
